impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,location_for_map,Memo
K17-104556,A545522,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1790781,LOST,Figaro,Dog,,Female,Dachshund,Unknown,11/04/2017 12:00:00 AM,Date Lost,12TH AVENUE SW & SW KENYON ST,SEATTLE,WA,98106,SEATTLE,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1790781,Image Copyright HLP Inc. 2017,"12TH AVENUE SW &amp; SW KENYON ST
SEATTLE, WA 98106
",
K17-104428,A544826,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A544826,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Athena,Cat,1 YEAR 6 MONTHS,Spayed Female,Domestic Shorthair,Gray Tabby / White,11/01/2017 12:00:00 AM,Received on,19600 SE 206TH ST,MAPLE VALLEY,WA,98038,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A544826,Image Copyright HLP Inc. 2017,"19600 SE 206TH ST
MAPLE VALLEY, WA 98038
","Received on: 2017-11-01<p></p> Found Near: 19600 SE 206TH ST, MAPLE VALLEY WA 98038<p></p> Description: Gray Tabby / White Spayed Female Domestic Shorthair Cat<p></p> Age: 1 YEAR 6 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-104512,A545160,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1790075,LOST,Mikey,Cat,,Male,Domestic Shorthair,Unknown,11/03/2017 12:00:00 AM,Date Lost,140TH AVE SE & SE 37TH PL.,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1790075,Image Copyright HLP Inc. 2017,"140TH AVE SE &amp; SE 37TH PL.
",
K17-104408,A544643,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Cat,NO AGE,Unaltered,Domestic Shorthair,Black / White,10/31/2017 12:00:00 AM,Received on,18500 64TH AVE NE,KENMORE,WA,98028,KENMORE,,,,Image Copyright HLP Inc. 2017,"18500 64TH AVE NE
KENMORE, WA 98028
","Received on: 2017-10-31<p></p> Found Near: 18500 64TH AVE NE, KENMORE WA 98028<p></p> Description: Black / White Unaltered Domestic Shorthair Cat<p></p> Age: NO AGE<p></p>"
K17-103290,A539860,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A539860,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Tommy,Cat,4 MONTHS,Neutered Male,Domestic Longhair,Black / White,09/26/2017 12:00:00 AM,Received on,37300 ENCHANTED PKWY S,FEDERAL WAY,WA,98003,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A539860,Image Copyright HLP Inc. 2017,"37300 ENCHANTED PKWY S
FEDERAL WAY, WA 98003
","Received on: 2017-09-26<p></p> Found Near: 37300 ENCHANTED PKWY S, FEDERAL WAY WA 98003<p></p> Description: Black / White Neutered Male Domestic Longhair Cat<p></p> Age: 4 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-104236,A544074,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A544074,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Max,Dog,2 YEARS,Neutered Male,Chihuahua - Smooth Coated / Mix,Br Brindle / White,10/26/2017 12:00:00 AM,Received on,12040 NE 85TH ST,KIRKLAND,WA,98033,KIRKLAND,47.680519,-122.179195,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A544074,Image Copyright HLP Inc. 2017,"12040 NE 85TH ST
KIRKLAND, WA 98033
(47.680519, -122.179195)","Received on: 2017-10-26<p></p> Description: Br Brindle / White<p></p>  Neutered Male Chihuahua - Smooth Coated / Mix Dog<p></p> Age: 2 YEARS<p></p> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p></p>Hi! My name is Max and I am available for adoption.<p></p><p></p>I was brought in by a good samaritan on October 26, 2017.<p></p><p></p>My personality color is BLUE. I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p></p><p></p>I am a sweet little guy and I do well with dogs if they don't spend too much time in my bubble.  I enjoy people, but I prefer to have a calm home environment so it would be best if my new home did not have any young children.<p></p> Adoption Fee: $175.00<p></p>"
K17-104560,A545179,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A545179,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Yarrow,Cat,7 MONTHS,Neutered Male,Domestic Shorthair,Brn Tabby / White,11/06/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A545179,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-11-06<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: Brn Tabby / White Neutered Male Domestic Shorthair Cat<p></p> Age: 7 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-104039,A543199,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A543199,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Fiona,Dog,NO AGE,Female,Pointer,White / Black,10/20/2017 12:00:00 AM,Received on,27400 SE 392ND ST,ENUMCLAW,WA,98022,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A543199,Image Copyright HLP Inc. 2017,"27400 SE 392ND ST
ENUMCLAW, WA 98022
","Received on: 2017-10-20<p></p> Found Near: 27400 SE 392ND ST, ENUMCLAW WA 98022<p></p> Description: White / Black Female Pointer Dog<p></p> Age: NO AGE<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-104573,A545192,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A545192,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Mustafa,Cat,1 YEAR 6 MONTHS,Neutered Male,Domestic Shorthair,Black / White,11/06/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A545192,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-11-06<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: Black / White Neutered Male Domestic Shorthair Cat<p></p> Age: 1 YEAR 6 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-104061,A543252,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1784649,LOST,Bella,Cat,,Female,Domestic Shorthair,Unknown,10/13/2017 12:00:00 AM,Date Lost,184TH AVENUE NE & NE 15TH PL,BELLEVUE,WA,98008,BELLEVUE,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1784649,Image Copyright HLP Inc. 2017,"184TH AVENUE NE &amp; NE 15TH PL
BELLEVUE, WA 98008
",
K17-104581,A545200,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A545200,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Cinnamon,Cat,9 WEEKS,Neutered Male,Domestic Shorthair,Org Tabby,11/06/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A545200,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-11-06<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: Org Tabby Neutered Male Domestic Shorthair Cat<p></p> Age: 9 WEEKS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-104232,A544056,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A544056,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,3 MONTHS,Spayed Female,Domestic Mediumhair,Black / White,10/26/2017 12:00:00 AM,Received on,26100 78TH AVE S,KENT,WA,98032,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A544056,Image Copyright HLP Inc. 2017,"26100 78TH AVE S
KENT, WA 98032
","Received on: 2017-10-26<p></p> Found Near: 26100 78TH AVE S, KENT WA 98032<p></p> Description: Black / White Spayed Female Domestic Mediumhair Cat<p></p> Age: 3 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-103363,A540308,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1776536,LOST,Curtis,Dog,,Male,Labrador Retriever,Unknown,09/28/2017 12:00:00 AM,Date Lost,ASHWORTH AVENUE N & N 155TH ST,SHORELINE,WA,98133,SHORELINE,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1776536,Image Copyright HLP Inc. 2017,"ASHWORTH AVENUE N &amp; N 155TH ST
SHORELINE, WA 98133
",
K17-104619,A545643,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A545643,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Charlie,Dog,3 YEARS,Neutered Male,Pit Bull,Brown,11/07/2017 12:00:00 AM,Received on,3000 S 204TH ST,SEATAC,WA,98198,SEATAC,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A545643,Image Copyright HLP Inc. 2017,"3000 S 204TH ST
SEATAC, WA 98198
","Received on: 2017-11-07<p></p> Found Near: 3000 S 204TH ST, SEATAC WA 98198<p></p> Description: Brown Neutered Male Pit Bull Dog<p></p> Age: 3 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-104620,A545653,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A545653,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,13 WEEKS,Male,Domestic Mediumhair,Gray / White,11/07/2017 12:00:00 AM,Received on,41200 177TH DR SE,ENUMCLAW,WA,98022,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A545653,Image Copyright HLP Inc. 2017,"41200 177TH DR SE
ENUMCLAW, WA 98022
","Received on: 2017-11-07<p></p> Found Near: 41200 177TH DR SE, ENUMCLAW WA 98022<p></p> Description: Gray / White Male Domestic Mediumhair Cat<p></p> Age: 13 WEEKS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-104604,A545559,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A545559,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,11 WEEKS,Female,Domestic Shorthair,Black,11/06/2017 12:00:00 AM,Received on,15500 SE GREEN VALLEY RD,AUBURN,WA,98092,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A545559,Image Copyright HLP Inc. 2017,"15500 SE GREEN VALLEY RD
AUBURN, WA 98092
","Received on: 2017-11-06<p></p> Found Near: 15500 SE GREEN VALLEY RD, AUBURN WA 98092<p></p> Description: Black Female Domestic Shorthair Cat<p></p> Age: 11 WEEKS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-104226,A541177,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A541177,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Spike,Dog,5 YEARS,Neutered Male,Pit Bull,White / Red,10/26/2017 12:00:00 AM,Received on,14900 SE 272ND ST,KENT,WA,98042,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A541177,Image Copyright HLP Inc. 2017,"14900 SE 272ND ST
KENT, WA 98042
","Received on: 2017-10-26<p></p> Found Near: 14900 SE 272ND ST, KENT WA 98042<p></p> Description: White / Red Neutered Male Pit Bull Dog<p></p> Age: 5 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-104570,A545190,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A545190,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Beau,Cat,3 YEARS,Neutered Male,Domestic Longhair,Black / White,11/06/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A545190,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-11-06<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: Black / White Neutered Male Domestic Longhair Cat<p></p> Age: 3 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-103171,A539567,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A539567,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Simon,Cat,4 YEARS 1 MONTH,Neutered Male,Siamese,Flame Pt,09/23/2017 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A539567,Image Copyright HLP Inc. 2017,,"Received on: 2017-09-23<p></p> Description: Flame Pt<p></p>  Neutered Male Siamese Cat<p></p> Age: 4 YEARS 1 MONTH<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi! My name is Simon  and I am available for adoption.<p></p><p></p>I was brought in by a good samaritan on September 23, 2017.<p></p><p></p>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p></p><p></p>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p></p><p></p>This cat has tested positive for Feline Immunodeficiency Virus (FIV). Cats with FIV can still live fulfilling lives, but extra care may be required. This cat should live indoors only.<p></p> <p></p>Please visit this page for more information: http://www.vet.cornell.edu/fhc/Health_Information/brochure_fiv.cfm<p></p><p></p><p></p> Adoption Fee: $30.00<p></p>"
K17-104400,A544630,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A544630,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Clark,Dog,4 YEARS,Neutered Male,Miniature Pinscher / Mix,Black / Tan,10/31/2017 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A544630,Image Copyright HLP Inc. 2017,,"Received on: 2017-10-31<p></p> Description: Black / Tan<p></p>  Neutered Male Miniature Pinscher / Mix Dog<p></p> Age: 4 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi! My name is Clark and I am available for adoption.<p></p><p></p>I was brought in by a good samaritan on October 31, 2017.<p></p><p></p>My personality color is BLUE. I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p></p><p></p>I am an independent dog who likes to do my own thing!<p></p><p></p>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p></p><p></p>My caregivers have noticed that I seem to do well with other small dogs. When meeting dogs in a new home, I would do best with a slow introduction. I do tend to be bossy and pushy with other dogs, so I would need a buddy that is tolerant.<p></p><p></p><p></p> Adoption Fee: $250.00<p></p>"
K17-104496,A545148,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A545148,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Desiree,Cat,5 YEARS,Spayed Female,Domestic Shorthair,Black,11/03/2017 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A545148,Image Copyright HLP Inc. 2017,,"Received on: 2017-11-03<p></p> Description: Black<p></p>  Spayed Female Domestic Shorthair Cat<p></p> Age: 5 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi! My name is Desiree and I am available for adoption.<p></p><p></p>I was transferred from Metro Animal Services in Pierce County on 11/3/17.<p></p><p></p>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p></p><p></p> I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p></p><p></p><p></p> Adoption Fee: $30.00<p></p>"
K17-104550,A490227,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A490227,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Radar,Dog,NO AGE,Male,Australian Shepherd,Gold / White,11/06/2017 12:00:00 AM,Received on,29200 SE 8TH ST,FALL CITY,WA,98024,KING COUNTY,47.600904,-121.948719,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A490227,Image Copyright HLP Inc. 2017,"29200 SE 8TH ST
FALL CITY, WA 98024
(47.600904, -121.948719)","Received on: 2017-11-06<p></p> Found Near: 29200 SE 8TH ST, FALL CITY WA 98024<p></p> Description: Gold / White Male Australian Shepherd Dog<p></p> Age: NO AGE<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-104575,A545194,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A545194,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Scarlet,Cat,4 MONTHS,Spayed Female,Domestic Shorthair,Brn Tabby,11/06/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A545194,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-11-06<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: Brn Tabby Spayed Female Domestic Shorthair Cat<p></p> Age: 4 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-104108,A543283,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,Riceball,Dead Cat,8 YEARS,Neutered Male,Domestic Shorthair,Black / Gray,10/22/2017 12:00:00 AM,Received on,10100 134TH PL NE,REDMOND,WA,98033,REDMOND,,,,Image Copyright HLP Inc. 2017,"10100 134TH PL NE
REDMOND, WA 98033
","Received on: 2017-10-22<p></p> Found Near: 10100 134TH PL NE, REDMOND WA 98033<p></p> Description: Black / Gray Neutered Male Domestic Shorthair Cat<p></p> Age: 8 YEARS<p></p>"
K17-103288,A539858,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A539858,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Pidder Padder,Cat,6 MONTHS,Neutered Male,Domestic Shorthair,Black,09/26/2017 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A539858,Image Copyright HLP Inc. 2017,,"Received on: 2017-09-26<p></p> Description: Black<p></p>  Neutered Male Domestic Shorthair Cat<p></p> Age: 6 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi! My name is Pidder Padder and I am available for adoption.<p></p><p></p>I was brought in by a good samaritan on 9/26/17.<p></p><p></p>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p></p><p></p><p></p> Adoption Fee: $30.00<p></p>"
K17-103171,A539567,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A539567,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Simon,Cat,4 YEARS 1 MONTH,Neutered Male,Siamese,Flame Pt,09/23/2017 12:00:00 AM,Received on,400 NOVAK LN,KENT,WA,98032,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A539567,Image Copyright HLP Inc. 2017,"400 NOVAK LN
KENT, WA 98032
","Received on: 2017-09-23<p></p> Found Near: 400 NOVAK LN, KENT WA 98032<p></p> Description: Flame Pt Neutered Male Siamese Cat<p></p> Age: 4 YEARS 1 MONTH<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-104274,A544174,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,In RASKC Foster Home,,Cat,4 WEEKS,Male,Domestic Mediumhair,Gray,10/27/2017 12:00:00 AM,Received on,14600 MILITARY RD S,SEATAC,WA,98168,SEATAC,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A544174,Image Copyright HLP Inc. 2017,"14600 MILITARY RD S
SEATAC, WA 98168
","Received on: 2017-10-27<p></p> Found Near: 14600 MILITARY RD S, SEATAC WA 98168<p></p> Description: Gray Male Domestic Mediumhair Cat<p></p> Age: 4 WEEKS<p></p> Current Location: In RASKC Foster Home <p></p>"
K17-104370,A544457,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A544457,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Marck,Dog,5 YEARS,Neutered Male,Akita / Mix,Br Brindle / Black,10/30/2017 12:00:00 AM,Received on,24800 148TH AVE SE,COVINGTON,WA,98042,COVINGTON,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A544457,Image Copyright HLP Inc. 2017,"24800 148TH AVE SE
COVINGTON, WA 98042
","Received on: 2017-10-30<p></p> Found Near: 24800 148TH AVE SE, COVINGTON WA 98042<p></p> Description: Br Brindle / Black Neutered Male Akita / Mix Dog<p></p> Age: 5 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-101305,A525186,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A525186,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Loki,Cat,12 YEARS 6 MONTHS,Neutered Male,Domestic Shorthair,Brn Tabby / White,07/30/2017 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A525186,Image Copyright HLP Inc. 2017,,"Received on: 2017-07-30<p></p> Description: Brn Tabby / White<p></p>  Neutered Male Domestic Shorthair Cat<p></p> Age: 12 YEARS 6 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi! My name is Loki and I am available for adoption.<p></p><p></p>I was brought in by my previous owner on April 30, 2017 because they were moving. I lived in a home with a family that had kids but due to my history of using my mouth when I am uncomfortable, my caregivers are recommending that I go to an adult only home.<p></p><p></p>I prefer the &quot;hands-off&quot; approach, meaning that I will jump on your lap and interact, but it's all on my terms. I tend to get feisty if I get too much attention....typical catitude! I am very food motivated and love snacks and toys.  If you want a cool cat, come adopt me!<p></p><p></p>My personality color is RED. I am a spirited cat with a fun-loving personality! I may be sensitive to handling, so I would do best in a home with a cat savvy family who knows when to give me some space.<p></p><p></p>A veterinarian has diagnosed or tentatively diagnosed the above-described pet with the following condition(s):<p></p><p></p>1)     This cat has a history of inflammatory bowel disease (IBD).  He is currently being treated with oral steroids.  This condition will require long term management, which could include medications and prescription diets.  We recommend you follow up with your regular veterinarian for the best treatment plan.  An information handout is also provided.<p></p><p></p>2)   This cat has a history of struvite crystals in the urine and urinary tract infections.  He is currently being managed with a prescription diet (Hill's C/D).  This condition will most likely need longterm manament and treatment.<p></p><p></p>As a result of these conditions, your pet may need specialized care consisting of any or all of the below.  Please note this is not intended to be an exhaustive list.<p></p><p></p>- Special diet or prescription foods<p></p>- Prescription or over-the-counter medicines<p></p>- Special skin care or shampoos<p></p>- Regular veterinarian visits, which may include blood tests or other monitoring<p></p>- Possible surgery or other procedures as determined by your veterinarian<p></p><p></p> Adoption Fee: $30.00<p></p>"
K17-104587,A545206,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A545206,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Fluffy,Cat,11 WEEKS,Spayed Female,Domestic Mediumhair,Org Tabby,11/06/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A545206,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-11-06<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: Org Tabby Spayed Female Domestic Mediumhair Cat<p></p> Age: 11 WEEKS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-104216,A543939,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A543939,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Johnny,Dog,3 YEARS,Neutered Male,Pit Bull,Br Brindle,10/25/2017 12:00:00 AM,Received on,27700 108TH AVE SE,KENT,WA,98030,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A543939,Image Copyright HLP Inc. 2017,"27700 108TH AVE SE
KENT, WA 98030
","Received on: 2017-10-25<p></p> Found Near: 27700 108TH AVE SE, KENT WA 98030<p></p> Description: Br Brindle Neutered Male Pit Bull Dog<p></p> Age: 3 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-104601,A545557,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A545557,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,9 WEEKS,Female,Domestic Shorthair,Black,11/06/2017 12:00:00 AM,Received on,15500 SE GREEN VALLEY RD,AUBURN,WA,98092,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A545557,Image Copyright HLP Inc. 2017,"15500 SE GREEN VALLEY RD
AUBURN, WA 98092
","Received on: 2017-11-06<p></p> Found Near: 15500 SE GREEN VALLEY RD, AUBURN WA 98092<p></p> Description: Black Female Domestic Shorthair Cat<p></p> Age: 9 WEEKS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
